HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
Crystal Palace,West Brom,A,4.0,4.0,0.675,1.056,1.041,1.498,-1
Everton,Burnley,H,8.0,1.0,2.096,1.858,0.598,0.856,1
Leicester,Swansea,H,6.0,6.0,0.852,0.876,0.618,0.786,1
Stoke,Southampton,H,2.0,6.0,0.915,1.036,1.124,1.251,1
Man City,West Ham,H,3.0,3.0,2.786,1.508,1.576,1.808,1
Newcastle,Tottenham,A,5.0,8.0,1.69,1.917,2.422,1.812,-1
Burnley,Leicester,A,4.0,4.0,0.528,0.827,1.06,0.845,-1
Crystal Palace,Hull,A,3.0,7.0,0.675,1.056,0.36,0.657,-1
Man City,Aston Villa,H,4.0,4.0,2.786,1.508,1.649,1.827,1
Newcastle,Swansea,A,4.0,6.0,1.69,1.917,0.618,0.786,-1
QPR,West Ham,D,7.0,2.0,0.221,0.375,1.576,1.808,0
Southampton,Tottenham,D,4.0,2.0,1.173,1.333,2.422,1.812,0
Stoke,Sunderland,D,8.0,5.0,0.915,1.036,0.968,1.472,0
West Brom,Liverpool,D,4.0,5.0,1.077,1.741,2.709,1.561,0
Arsenal,Chelsea,D,1.0,3.0,2.76,1.498,2.778,1.332,0
Everton,Man United,H,7.0,4.0,2.096,1.858,2.802,1.362,1
Hull,Liverpool,H,4.0,9.0,0.395,0.705,2.709,1.561,1
Leicester,Chelsea,A,2.0,4.0,0.852,0.876,2.778,1.332,-1
Aston Villa,Everton,H,4.0,5.0,1.376,1.717,1.902,1.753,1
Leicester,Newcastle,H,7.0,3.0,0.852,0.876,1.523,1.959,1
Liverpool,QPR,H,8.0,2.0,2.642,1.352,0.268,0.45,1
Man United,West Brom,A,9.0,3.0,2.76,1.323,1.041,1.498,-1
Sunderland,Southampton,H,6.0,2.0,0.908,1.479,1.124,1.251,1
Swansea,Stoke,H,4.0,3.0,0.661,0.827,0.73,1.151,1
West Ham,Burnley,H,7.0,2.0,1.59,2.004,0.598,0.856,1
Chelsea,Crystal Palace,H,7.0,1.0,2.742,1.333,0.924,1.026,1
Tottenham,Man City,A,5.0,4.0,2.402,1.766,2.758,1.601,-1
Hull,Arsenal,A,1.0,9.0,0.395,0.705,2.841,1.624,-1
Aston Villa,West Ham,H,5.0,1.0,1.376,1.717,1.576,1.808,1
Crystal Palace,Man United,A,4.0,4.0,0.675,1.056,2.802,1.362,-1
Everton,Sunderland,A,4.0,3.0,2.096,1.858,0.968,1.472,-1
Hull,Burnley,A,3.0,2.0,0.395,0.705,0.598,0.856,-1
Leicester,Southampton,H,3.0,3.0,0.852,0.876,1.124,1.251,1
Newcastle,West Brom,D,5.0,3.0,1.69,1.917,1.041,1.498,0
Stoke,Tottenham,H,9.0,3.0,0.915,1.036,2.422,1.812,1
Chelsea,Liverpool,D,3.0,4.0,2.742,1.333,2.709,1.561,0
Man City,QPR,H,11.0,3.0,2.786,1.508,0.268,0.45,1
Arsenal,Swansea,A,9.0,3.0,2.76,1.498,0.618,0.786,-1
Burnley,Stoke,D,4.0,3.0,0.528,0.827,0.73,1.151,0
Liverpool,Crystal Palace,A,3.0,6.0,2.642,1.352,0.924,1.026,-1
QPR,Newcastle,H,4.0,8.0,0.221,0.375,1.523,1.959,1
Southampton,Aston Villa,H,11.0,4.0,1.173,1.333,1.649,1.827,1
Sunderland,Leicester,D,3.0,0.0,0.908,1.479,1.06,0.845,0
Tottenham,Hull,H,3.0,2.0,2.402,1.766,0.36,0.657,1
