HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
Fulham,Arsenal,A,2.0,6.0,1.28,1.649,2.841,1.624,-1
Crystal Palace,Southampton,H,3.0,5.0,0.675,1.056,1.124,1.251,1
Liverpool,Leeds,H,6.0,3.0,2.642,1.352,0.389,0.387,1
West Ham,Newcastle,A,3.0,2.0,1.59,2.004,1.523,1.959,-1
West Brom,Leicester,A,1.0,7.0,1.077,1.741,1.06,0.845,-1
Tottenham,Everton,A,5.0,4.0,2.402,1.766,1.902,1.753,-1
Brighton,Chelsea,A,3.0,5.0,0.314,0.496,2.778,1.332,-1
Sheffield United,Wolves,A,2.0,4.0,0.221,0.306,0.608,0.812,-1
Everton,West Brom,H,7.0,4.0,2.096,1.858,1.041,1.498,1
Leeds,Fulham,H,7.0,6.0,0.273,0.365,1.109,1.609,1
Man United,Crystal Palace,A,4.0,5.0,2.76,1.323,0.924,1.026,-1
Arsenal,West Ham,H,3.0,3.0,2.76,1.498,1.576,1.808,1
Southampton,Tottenham,A,7.0,6.0,1.173,1.333,2.422,1.812,-1
Newcastle,Brighton,A,0.0,6.0,1.69,1.917,0.306,0.413,-1
Chelsea,Liverpool,A,3.0,6.0,2.742,1.333,2.709,1.561,-1
Leicester,Burnley,H,6.0,5.0,0.852,0.876,0.598,0.856,1
Aston Villa,Sheffield United,H,2.0,1.0,1.376,1.717,0.151,0.347,1
Wolves,Man City,A,1.0,9.0,0.587,0.91,2.758,1.601,-1
Brighton,Man United,A,5.0,3.0,0.314,0.496,2.802,1.362,-1
Crystal Palace,Everton,A,1.0,5.0,0.675,1.056,1.902,1.753,-1
West Brom,Chelsea,D,3.0,10.0,1.077,1.741,2.778,1.332,0
Burnley,Southampton,A,2.0,1.0,0.528,0.827,1.124,1.251,-1
Sheffield United,Leeds,A,4.0,9.0,0.221,0.306,0.389,0.387,-1
Tottenham,Newcastle,D,12.0,1.0,2.402,1.766,1.523,1.959,0
Man City,Leicester,A,5.0,7.0,2.786,1.508,1.06,0.845,-1
West Ham,Wolves,H,7.0,2.0,1.59,2.004,0.608,0.812,1
Fulham,Aston Villa,A,3.0,5.0,1.28,1.649,1.649,1.827,-1
Liverpool,Arsenal,H,8.0,3.0,2.642,1.352,2.841,1.624,1
Chelsea,Crystal Palace,H,6.0,0.0,2.742,1.333,0.924,1.026,1
Everton,Brighton,H,6.0,3.0,2.096,1.858,0.306,0.413,1
Leeds,Man City,D,7.0,2.0,0.273,0.365,2.758,1.601,0
Newcastle,Burnley,H,5.0,3.0,1.69,1.917,0.598,0.856,1
Leicester,West Ham,A,0.0,6.0,0.852,0.876,1.576,1.808,-1
Southampton,West Brom,H,7.0,2.0,1.173,1.333,1.041,1.498,1
Arsenal,Sheffield United,H,5.0,2.0,2.76,1.498,0.151,0.347,1
Wolves,Fulham,H,5.0,2.0,0.587,0.91,1.109,1.609,1
Man United,Tottenham,A,2.0,8.0,2.76,1.323,2.422,1.812,-1
Aston Villa,Liverpool,H,11.0,8.0,1.376,1.717,2.709,1.561,1
Everton,Liverpool,D,5.0,8.0,2.096,1.858,2.709,1.561,0
Chelsea,Southampton,D,5.0,6.0,2.742,1.333,1.124,1.251,0
Man City,Arsenal,H,5.0,3.0,2.786,1.508,2.841,1.624,1
Newcastle,Man United,A,4.0,14.0,1.69,1.917,2.802,1.362,-1
Sheffield United,Fulham,D,6.0,6.0,0.221,0.306,1.109,1.609,0
Crystal Palace,Brighton,D,1.0,3.0,0.675,1.056,0.306,0.413,0
Tottenham,West Ham,D,6.0,4.0,2.402,1.766,1.576,1.808,0
Leicester,Aston Villa,A,5.0,4.0,0.852,0.876,1.649,1.827,-1
West Brom,Burnley,D,6.0,4.0,1.077,1.741,0.598,0.856,0
Leeds,Wolves,A,2.0,3.0,0.273,0.365,0.608,0.812,-1
Aston Villa,Leeds,A,4.0,9.0,1.376,1.717,0.389,0.387,-1
West Ham,Man City,D,2.0,7.0,1.59,2.004,2.758,1.601,0
Fulham,Crystal Palace,A,3.0,10.0,1.28,1.649,0.924,1.026,-1
Man United,Chelsea,D,4.0,1.0,2.76,1.323,2.778,1.332,0
Liverpool,Sheffield United,H,5.0,2.0,2.642,1.352,0.151,0.347,1
Southampton,Everton,H,6.0,2.0,1.173,1.333,1.902,1.753,1
Wolves,Newcastle,D,3.0,2.0,0.587,0.91,1.523,1.959,0
Arsenal,Leicester,A,4.0,2.0,2.76,1.498,1.06,0.845,-1
Brighton,West Brom,D,3.0,3.0,0.314,0.496,1.041,1.498,0
Burnley,Tottenham,A,4.0,3.0,0.528,0.827,2.422,1.812,-1
Wolves,Crystal Palace,H,5.0,2.0,0.587,0.91,0.924,1.026,1
Sheffield United,Man City,A,1.0,8.0,0.221,0.306,2.758,1.601,-1
Burnley,Chelsea,A,0.0,9.0,0.528,0.827,2.778,1.332,-1
Liverpool,West Ham,H,5.0,3.0,2.642,1.352,1.576,1.808,1
Aston Villa,Southampton,A,10.0,4.0,1.376,1.717,1.124,1.251,-1
Newcastle,Everton,H,4.0,4.0,1.69,1.917,1.902,1.753,1
Man United,Arsenal,A,2.0,2.0,2.76,1.323,2.841,1.624,-1
Tottenham,Brighton,H,3.0,2.0,2.402,1.766,0.306,0.413,1
Fulham,West Brom,H,6.0,1.0,1.28,1.649,1.041,1.498,1
Leeds,Leicester,A,4.0,8.0,0.273,0.365,1.06,0.845,-1
Brighton,Burnley,D,3.0,1.0,0.314,0.496,0.598,0.856,0
Southampton,Newcastle,H,8.0,2.0,1.173,1.333,1.523,1.959,1
Everton,Man United,A,1.0,5.0,2.096,1.858,2.802,1.362,-1
Crystal Palace,Leeds,H,6.0,3.0,0.675,1.056,0.389,0.387,1
Chelsea,Sheffield United,H,9.0,3.0,2.742,1.333,0.151,0.347,1
West Ham,Fulham,H,7.0,3.0,1.59,2.004,1.109,1.609,1
West Brom,Tottenham,A,2.0,5.0,1.077,1.741,2.422,1.812,-1
Leicester,Wolves,H,3.0,2.0,0.852,0.876,0.608,0.812,1
Man City,Liverpool,D,2.0,3.0,2.786,1.508,2.709,1.561,0
Arsenal,Aston Villa,A,2.0,6.0,2.76,1.498,1.649,1.827,-1
Newcastle,Chelsea,A,1.0,3.0,1.69,1.917,2.778,1.332,-1
Aston Villa,Brighton,A,4.0,3.0,1.376,1.717,0.306,0.413,-1
Tottenham,Man City,H,2.0,5.0,2.402,1.766,2.758,1.601,1
Man United,West Brom,H,7.0,2.0,2.76,1.323,1.041,1.498,1
Fulham,Everton,A,6.0,7.0,1.28,1.649,1.902,1.753,-1
Sheffield United,West Ham,A,5.0,3.0,0.221,0.306,1.576,1.808,-1
Leeds,Arsenal,D,4.0,2.0,0.273,0.365,2.841,1.624,0
Liverpool,Leicester,H,13.0,4.0,2.642,1.352,1.06,0.845,1
Burnley,Crystal Palace,H,4.0,5.0,0.528,0.827,0.924,1.026,1
Wolves,Southampton,D,9.0,2.0,0.587,0.91,1.124,1.251,0
Crystal Palace,Newcastle,A,3.0,7.0,0.675,1.056,1.523,1.959,-1
Brighton,Liverpool,D,3.0,2.0,0.314,0.496,2.709,1.561,0
Man City,Burnley,H,6.0,1.0,2.786,1.508,0.598,0.856,1
Everton,Leeds,A,8.0,7.0,2.096,1.858,0.389,0.387,-1
West Brom,Sheffield United,H,6.0,5.0,1.077,1.741,0.151,0.347,1
Southampton,Man United,A,5.0,6.0,1.173,1.333,2.802,1.362,-1
Chelsea,Tottenham,D,3.0,1.0,2.742,1.333,2.422,1.812,0
Arsenal,Wolves,A,2.0,5.0,2.76,1.498,0.608,0.812,-1
Leicester,Fulham,A,3.0,5.0,0.852,0.876,1.109,1.609,-1
West Ham,Aston Villa,H,2.0,6.0,1.59,2.004,1.649,1.827,1
Burnley,Everton,D,3.0,6.0,0.528,0.827,1.902,1.753,0
Man City,Fulham,H,6.0,1.0,2.786,1.508,1.109,1.609,1
West Ham,Man United,A,6.0,6.0,1.59,2.004,2.802,1.362,-1
Chelsea,Leeds,H,11.0,3.0,2.742,1.333,0.389,0.387,1
West Brom,Crystal Palace,A,4.0,6.0,1.077,1.741,0.924,1.026,-1
Sheffield United,Leicester,A,1.0,4.0,0.221,0.306,1.06,0.845,-1
Tottenham,Arsenal,H,3.0,2.0,2.402,1.766,2.841,1.624,1
Liverpool,Wolves,H,6.0,3.0,2.642,1.352,0.608,0.812,1
Brighton,Southampton,A,4.0,3.0,0.314,0.496,1.124,1.251,-1
Leeds,West Ham,A,7.0,8.0,0.273,0.365,1.576,1.808,-1
Wolves,Aston Villa,A,7.0,2.0,0.587,0.91,1.649,1.827,-1
Newcastle,West Brom,H,7.0,3.0,1.69,1.917,1.041,1.498,1
Man United,Man City,D,2.0,2.0,2.76,1.323,2.758,1.601,0
Everton,Chelsea,H,4.0,3.0,2.096,1.858,2.778,1.332,1
Southampton,Sheffield United,H,6.0,0.0,1.173,1.333,0.151,0.347,1
Crystal Palace,Tottenham,D,5.0,6.0,0.675,1.056,2.422,1.812,0
Fulham,Liverpool,D,5.0,6.0,1.28,1.649,2.709,1.561,0
Arsenal,Burnley,A,6.0,2.0,2.76,1.498,0.598,0.856,-1
Leicester,Brighton,H,6.0,4.0,0.852,0.876,0.306,0.413,1
Wolves,Chelsea,H,4.0,3.0,0.587,0.91,2.778,1.332,1
Man City,West Brom,D,7.0,1.0,2.786,1.508,1.041,1.498,0
Arsenal,Southampton,D,4.0,3.0,2.76,1.498,1.124,1.251,0
Leeds,Newcastle,H,10.0,4.0,0.273,0.365,1.523,1.959,1
Leicester,Everton,A,2.0,6.0,0.852,0.876,1.902,1.753,-1
Fulham,Brighton,D,4.0,4.0,1.28,1.649,0.306,0.413,0
Liverpool,Tottenham,H,11.0,2.0,2.642,1.352,2.422,1.812,1
West Ham,Crystal Palace,D,2.0,2.0,1.59,2.004,0.924,1.026,0
Aston Villa,Burnley,D,7.0,4.0,1.376,1.717,0.598,0.856,0
Sheffield United,Man United,A,6.0,8.0,0.221,0.306,2.802,1.362,-1
Crystal Palace,Liverpool,A,3.0,8.0,0.675,1.056,2.709,1.561,-1
Southampton,Man City,A,3.0,5.0,1.173,1.333,2.758,1.601,-1
Everton,Arsenal,H,2.0,2.0,2.096,1.858,2.841,1.624,1
Newcastle,Fulham,D,5.0,4.0,1.69,1.917,1.109,1.609,0
Brighton,Sheffield United,D,5.0,3.0,0.314,0.496,0.151,0.347,0
Tottenham,Leicester,A,3.0,4.0,2.402,1.766,1.06,0.845,-1
Man United,Leeds,H,14.0,3.0,2.76,1.323,0.389,0.387,1
West Brom,Aston Villa,A,1.0,10.0,1.077,1.741,1.649,1.827,-1
Burnley,Wolves,H,4.0,3.0,0.528,0.827,0.608,0.812,1
Chelsea,West Ham,H,7.0,0.0,2.742,1.333,1.576,1.808,1
Leicester,Man United,D,2.0,4.0,0.852,0.876,2.802,1.362,0
Aston Villa,Crystal Palace,H,10.0,6.0,1.376,1.717,0.924,1.026,1
Fulham,Southampton,D,1.0,2.0,1.28,1.649,1.124,1.251,0
Arsenal,Chelsea,H,7.0,3.0,2.76,1.498,2.778,1.332,1
Man City,Newcastle,H,6.0,2.0,2.786,1.508,1.523,1.959,1
Sheffield United,Everton,A,2.0,3.0,0.221,0.306,1.902,1.753,-1
Leeds,Burnley,H,4.0,6.0,0.273,0.365,0.598,0.856,1
West Ham,Brighton,D,4.0,4.0,1.59,2.004,0.306,0.413,0
Liverpool,West Brom,D,2.0,3.0,2.642,1.352,1.041,1.498,0
Wolves,Tottenham,D,6.0,3.0,0.587,0.91,2.422,1.812,0
Crystal Palace,Leicester,D,1.0,3.0,0.675,1.056,1.06,0.845,0
Chelsea,Aston Villa,D,5.0,2.0,2.742,1.333,1.649,1.827,0
Brighton,Arsenal,A,2.0,3.0,0.314,0.496,2.841,1.624,-1
Burnley,Sheffield United,H,3.0,3.0,0.528,0.827,0.151,0.347,1
Southampton,West Ham,D,3.0,3.0,1.173,1.333,1.576,1.808,0
West Brom,Leeds,A,1.0,6.0,1.077,1.741,0.389,0.387,-1
Man United,Wolves,H,3.0,5.0,2.76,1.323,0.608,0.812,1
Newcastle,Liverpool,D,2.0,4.0,1.69,1.917,2.709,1.561,0
Everton,West Ham,A,2.0,5.0,2.096,1.858,1.576,1.808,-1
Man United,Aston Villa,H,9.0,5.0,2.76,1.323,1.649,1.827,1
Tottenham,Leeds,H,7.0,5.0,2.402,1.766,0.389,0.387,1
Crystal Palace,Sheffield United,H,4.0,2.0,0.675,1.056,0.151,0.347,1
Brighton,Wolves,D,4.0,4.0,0.314,0.496,0.608,0.812,0
West Brom,Arsenal,A,3.0,12.0,1.077,1.741,2.841,1.624,-1
Newcastle,Leicester,A,2.0,3.0,1.69,1.917,1.06,0.845,-1
Chelsea,Man City,A,2.0,6.0,2.742,1.333,2.758,1.601,-1
Southampton,Liverpool,H,3.0,1.0,1.173,1.333,2.709,1.561,1
Sheffield United,Newcastle,H,4.0,3.0,0.221,0.306,1.523,1.959,1
Burnley,Man United,A,0.0,7.0,0.528,0.827,2.802,1.362,-1
Wolves,Everton,A,3.0,3.0,0.587,0.91,1.902,1.753,-1
Man City,Brighton,H,6.0,1.0,2.786,1.508,0.306,0.413,1
Tottenham,Fulham,D,6.0,4.0,2.402,1.766,1.109,1.609,0
Arsenal,Crystal Palace,D,4.0,2.0,2.76,1.498,0.924,1.026,0
Wolves,West Brom,A,6.0,5.0,0.587,0.91,1.041,1.498,-1
Leeds,Brighton,A,2.0,2.0,0.273,0.365,0.306,0.413,-1
West Ham,Burnley,H,4.0,2.0,1.59,2.004,0.598,0.856,1
Fulham,Chelsea,A,3.0,6.0,1.28,1.649,2.778,1.332,-1
Leicester,Southampton,H,5.0,3.0,0.852,0.876,1.124,1.251,1
Sheffield United,Tottenham,A,5.0,5.0,0.221,0.306,2.422,1.812,-1
Liverpool,Man United,D,3.0,4.0,2.642,1.352,2.802,1.362,0
Man City,Crystal Palace,H,6.0,0.0,2.786,1.508,0.924,1.026,1
Arsenal,Newcastle,H,6.0,1.0,2.76,1.498,1.523,1.959,1
West Ham,West Brom,H,6.0,2.0,1.59,2.004,1.041,1.498,1
Leicester,Chelsea,H,6.0,5.0,0.852,0.876,2.778,1.332,1
Man City,Aston Villa,H,9.0,4.0,2.786,1.508,1.649,1.827,1
Fulham,Man United,A,5.0,5.0,1.28,1.649,2.802,1.362,-1
Liverpool,Burnley,A,6.0,4.0,2.642,1.352,0.598,0.856,-1
Aston Villa,Newcastle,H,5.0,1.0,1.376,1.717,1.523,1.959,1
Crystal Palace,West Ham,A,3.0,7.0,0.675,1.056,1.576,1.808,-1
Newcastle,Leeds,A,5.0,2.0,1.69,1.917,0.389,0.387,-1
Southampton,Arsenal,A,5.0,5.0,1.173,1.333,2.841,1.624,-1
West Brom,Man City,A,1.0,7.0,1.077,1.741,2.758,1.601,-1
Burnley,Aston Villa,H,5.0,10.0,0.528,0.827,1.649,1.827,1
Chelsea,Wolves,D,5.0,0.0,2.742,1.333,0.608,0.812,0
Brighton,Fulham,D,5.0,3.0,0.314,0.496,1.109,1.609,0
Everton,Leicester,D,2.0,6.0,2.096,1.858,1.06,0.845,0
Man United,Sheffield United,A,4.0,3.0,2.76,1.323,0.151,0.347,-1
Tottenham,Liverpool,A,2.0,7.0,2.402,1.766,2.709,1.561,-1
Everton,Newcastle,A,3.0,3.0,2.096,1.858,1.523,1.959,-1
Crystal Palace,Wolves,H,2.0,4.0,0.675,1.056,0.608,0.812,1
Man City,Sheffield United,H,5.0,1.0,2.786,1.508,0.151,0.347,1
West Brom,Fulham,D,3.0,7.0,1.077,1.741,1.109,1.609,0
Arsenal,Man United,D,3.0,3.0,2.76,1.498,2.802,1.362,0
Southampton,Aston Villa,A,5.0,4.0,1.173,1.333,1.649,1.827,-1
Chelsea,Burnley,H,8.0,0.0,2.742,1.333,0.598,0.856,1
Leicester,Leeds,A,8.0,7.0,0.852,0.876,0.389,0.387,-1
West Ham,Liverpool,A,2.0,5.0,1.59,2.004,2.709,1.561,-1
Brighton,Tottenham,H,5.0,4.0,0.314,0.496,2.422,1.812,1
Sheffield United,West Brom,H,6.0,4.0,0.221,0.306,1.041,1.498,1
Wolves,Arsenal,H,7.0,3.0,0.587,0.91,2.841,1.624,1
Man United,Southampton,H,14.0,1.0,2.76,1.323,1.124,1.251,1
Newcastle,Crystal Palace,A,5.0,3.0,1.69,1.917,0.924,1.026,-1
Burnley,Man City,A,0.0,6.0,0.528,0.827,2.758,1.601,-1
Fulham,Leicester,A,1.0,5.0,1.28,1.649,1.06,0.845,-1
Leeds,Everton,A,7.0,6.0,0.273,0.365,1.902,1.753,-1
Aston Villa,West Ham,A,2.0,10.0,1.376,1.717,1.576,1.808,-1
Liverpool,Brighton,A,1.0,4.0,2.642,1.352,0.306,0.413,-1
Tottenham,Chelsea,A,2.0,2.0,2.402,1.766,2.778,1.332,-1
Aston Villa,Arsenal,H,8.0,3.0,1.376,1.717,2.841,1.624,1
Burnley,Brighton,D,7.0,2.0,0.528,0.827,0.306,0.413,0
Newcastle,Southampton,H,4.0,5.0,1.69,1.917,1.124,1.251,1
Fulham,West Ham,D,2.0,1.0,1.28,1.649,1.576,1.808,0
Man United,Everton,D,5.0,3.0,2.76,1.323,1.902,1.753,0
Tottenham,West Brom,H,6.0,1.0,2.402,1.766,1.041,1.498,1
Wolves,Leicester,D,1.0,3.0,0.587,0.91,1.06,0.845,0
Liverpool,Man City,A,3.0,5.0,2.642,1.352,2.758,1.601,-1
Sheffield United,Chelsea,A,3.0,3.0,0.221,0.306,2.778,1.332,-1
Leeds,Crystal Palace,H,7.0,3.0,0.273,0.365,0.924,1.026,1
Leicester,Liverpool,H,6.0,4.0,0.852,0.876,2.709,1.561,1
Crystal Palace,Burnley,A,3.0,4.0,0.675,1.056,0.598,0.856,-1
Man City,Tottenham,H,6.0,3.0,2.786,1.508,2.422,1.812,1
Brighton,Aston Villa,D,9.0,1.0,0.314,0.496,1.649,1.827,0
Southampton,Wolves,A,3.0,4.0,1.173,1.333,0.608,0.812,-1
West Brom,Man United,D,3.0,7.0,1.077,1.741,2.802,1.362,0
Arsenal,Leeds,H,5.0,5.0,2.76,1.498,0.389,0.387,1
Everton,Fulham,A,2.0,3.0,2.096,1.858,1.109,1.609,-1
West Ham,Sheffield United,H,9.0,5.0,1.59,2.004,0.151,0.347,1
Chelsea,Newcastle,H,5.0,4.0,2.742,1.333,1.523,1.959,1
Burnley,Fulham,D,3.0,3.0,0.528,0.827,1.109,1.609,0
Everton,Man City,A,2.0,7.0,2.096,1.858,2.758,1.601,-1
Wolves,Leeds,H,5.0,7.0,0.587,0.91,0.389,0.387,1
Southampton,Chelsea,D,1.0,3.0,1.173,1.333,2.778,1.332,0
Burnley,West Brom,D,1.0,3.0,0.528,0.827,1.041,1.498,0
Liverpool,Everton,A,6.0,6.0,2.642,1.352,1.902,1.753,-1
Fulham,Sheffield United,H,7.0,2.0,1.28,1.649,0.151,0.347,1
West Ham,Tottenham,H,4.0,4.0,1.59,2.004,2.422,1.812,1
Aston Villa,Leicester,A,2.0,7.0,1.376,1.717,1.06,0.845,-1
Arsenal,Man City,A,1.0,3.0,2.76,1.498,2.758,1.601,-1
Man United,Newcastle,H,7.0,6.0,2.76,1.323,1.523,1.959,1
Brighton,Crystal Palace,A,5.0,2.0,0.314,0.496,0.924,1.026,-1
Leeds,Southampton,H,7.0,5.0,0.273,0.365,1.124,1.251,1
Man City,West Ham,H,3.0,3.0,2.786,1.508,1.576,1.808,1
West Brom,Brighton,H,2.0,6.0,1.077,1.741,0.306,0.413,1
Leeds,Aston Villa,A,3.0,4.0,0.273,0.365,1.649,1.827,-1
Newcastle,Wolves,D,7.0,4.0,1.69,1.917,0.608,0.812,0
Crystal Palace,Fulham,D,0.0,4.0,0.675,1.056,1.109,1.609,0
Leicester,Arsenal,A,3.0,4.0,0.852,0.876,2.841,1.624,-1
Tottenham,Burnley,H,7.0,3.0,2.402,1.766,0.598,0.856,1
Chelsea,Man United,D,6.0,4.0,2.742,1.333,2.802,1.362,0
Sheffield United,Liverpool,A,2.0,8.0,0.221,0.306,2.709,1.561,-1
Everton,Southampton,H,1.0,1.0,2.096,1.858,1.124,1.251,1
Man City,Wolves,H,10.0,1.0,2.786,1.508,0.608,0.812,1
Burnley,Leicester,D,7.0,4.0,0.528,0.827,1.06,0.845,0
Sheffield United,Aston Villa,H,2.0,4.0,0.221,0.306,1.649,1.827,1
Crystal Palace,Man United,D,2.0,1.0,0.675,1.056,2.802,1.362,0
Fulham,Tottenham,A,3.0,2.0,1.28,1.649,2.422,1.812,-1
West Brom,Everton,A,3.0,3.0,1.077,1.741,1.902,1.753,-1
Liverpool,Chelsea,A,1.0,5.0,2.642,1.352,2.778,1.332,-1
Burnley,Arsenal,D,5.0,3.0,0.528,0.827,2.841,1.624,0
Sheffield United,Southampton,A,2.0,5.0,0.221,0.306,1.124,1.251,-1
Aston Villa,Wolves,D,1.0,2.0,1.376,1.717,0.608,0.812,0
Brighton,Leicester,A,2.0,4.0,0.314,0.496,1.06,0.845,-1
West Brom,Newcastle,D,3.0,5.0,1.077,1.741,1.523,1.959,0
Liverpool,Fulham,A,3.0,3.0,2.642,1.352,1.109,1.609,-1
Man City,Man United,A,6.0,6.0,2.786,1.508,2.802,1.362,-1
Tottenham,Crystal Palace,H,5.0,1.0,2.402,1.766,0.924,1.026,1
Chelsea,Everton,H,9.0,1.0,2.742,1.333,1.902,1.753,1
West Ham,Leeds,H,5.0,2.0,1.59,2.004,0.389,0.387,1
Man City,Southampton,H,10.0,6.0,2.786,1.508,1.124,1.251,1
Newcastle,Aston Villa,D,3.0,6.0,1.69,1.917,1.649,1.827,0
Leeds,Chelsea,D,4.0,8.0,0.273,0.365,2.778,1.332,0
Crystal Palace,West Brom,H,4.0,1.0,0.675,1.056,1.041,1.498,1
Everton,Burnley,A,4.0,5.0,2.096,1.858,0.598,0.856,-1
Fulham,Man City,A,0.0,7.0,1.28,1.649,2.758,1.601,-1
Southampton,Brighton,A,4.0,6.0,1.173,1.333,0.306,0.413,-1
Leicester,Sheffield United,H,10.0,0.0,0.852,0.876,0.151,0.347,1
Arsenal,Tottenham,H,3.0,3.0,2.76,1.498,2.422,1.812,1
Man United,West Ham,H,4.0,0.0,2.76,1.323,1.576,1.808,1
Wolves,Liverpool,A,5.0,4.0,0.587,0.91,2.709,1.561,-1
Fulham,Leeds,A,6.0,4.0,1.28,1.649,0.389,0.387,-1
Brighton,Newcastle,H,6.0,1.0,0.314,0.496,1.523,1.959,1
West Ham,Arsenal,D,5.0,7.0,1.59,2.004,2.841,1.624,0
Aston Villa,Tottenham,A,1.0,3.0,1.376,1.717,2.422,1.812,-1
Chelsea,West Brom,A,8.0,7.0,2.742,1.333,1.041,1.498,-1
Leeds,Sheffield United,H,8.0,1.0,0.273,0.365,0.151,0.347,1
Leicester,Man City,A,2.0,4.0,0.852,0.876,2.758,1.601,-1
Arsenal,Liverpool,A,2.0,7.0,2.76,1.498,2.709,1.561,-1
Southampton,Burnley,H,9.0,5.0,1.173,1.333,0.598,0.856,1
Newcastle,Tottenham,D,6.0,5.0,1.69,1.917,2.422,1.812,0
Aston Villa,Fulham,H,4.0,7.0,1.376,1.717,1.109,1.609,1
Man United,Brighton,H,7.0,3.0,2.76,1.323,0.306,0.413,1
Everton,Crystal Palace,D,7.0,6.0,2.096,1.858,0.924,1.026,0
Wolves,West Ham,A,5.0,6.0,0.587,0.91,1.576,1.808,-1
Fulham,Wolves,A,3.0,3.0,1.28,1.649,0.608,0.812,-1
Man City,Leeds,A,7.0,2.0,2.786,1.508,0.389,0.387,-1
Liverpool,Aston Villa,H,10.0,5.0,2.642,1.352,1.649,1.827,1
Crystal Palace,Chelsea,A,1.0,10.0,0.675,1.056,2.778,1.332,-1
Burnley,Newcastle,A,4.0,5.0,0.528,0.827,1.523,1.959,-1
West Ham,Leicester,H,4.0,5.0,1.59,2.004,1.06,0.845,1
Tottenham,Man United,A,3.0,7.0,2.402,1.766,2.802,1.362,-1
Sheffield United,Arsenal,A,2.0,5.0,0.221,0.306,2.841,1.624,-1
West Brom,Southampton,H,6.0,4.0,1.077,1.741,1.124,1.251,1
Brighton,Everton,D,3.0,1.0,0.314,0.496,1.902,1.753,0
Everton,Tottenham,D,7.0,3.0,2.096,1.858,2.422,1.812,0
Newcastle,West Ham,H,8.0,6.0,1.69,1.917,1.576,1.808,1
Wolves,Sheffield United,H,5.0,2.0,0.587,0.91,0.151,0.347,1
Arsenal,Fulham,D,5.0,1.0,2.76,1.498,1.109,1.609,0
Man United,Burnley,H,9.0,3.0,2.76,1.323,0.598,0.856,1
Leeds,Liverpool,D,5.0,7.0,0.273,0.365,2.709,1.561,0
Chelsea,Brighton,D,4.0,2.0,2.742,1.333,0.306,0.413,0
Tottenham,Southampton,H,3.0,5.0,2.402,1.766,1.124,1.251,1
Aston Villa,Man City,A,3.0,3.0,1.376,1.717,2.758,1.601,-1
Leicester,West Brom,H,7.0,1.0,0.852,0.876,1.041,1.498,1
Arsenal,Everton,A,3.0,1.0,2.76,1.498,1.902,1.753,-1
Liverpool,Newcastle,D,9.0,4.0,2.642,1.352,1.523,1.959,0
West Ham,Chelsea,A,2.0,6.0,1.59,2.004,2.778,1.332,-1
Sheffield United,Brighton,H,3.0,4.0,0.221,0.306,0.306,0.413,1
Wolves,Burnley,A,2.0,7.0,0.587,0.91,0.598,0.856,-1
Leeds,Man United,D,3.0,4.0,0.273,0.365,2.802,1.362,0
Aston Villa,West Brom,D,11.0,4.0,1.376,1.717,1.041,1.498,0
Leicester,Crystal Palace,H,5.0,2.0,0.852,0.876,0.924,1.026,1
Southampton,Leicester,D,3.0,9.0,1.173,1.333,1.06,0.845,0
Crystal Palace,Man City,A,4.0,3.0,0.675,1.056,2.758,1.601,-1
Brighton,Leeds,H,5.0,2.0,0.314,0.496,0.389,0.387,1
Chelsea,Fulham,H,5.0,3.0,2.742,1.333,1.109,1.609,1
Everton,Aston Villa,A,3.0,5.0,2.096,1.858,1.649,1.827,-1
Newcastle,Arsenal,A,1.0,5.0,1.69,1.917,2.841,1.624,-1
Tottenham,Sheffield United,H,11.0,1.0,2.402,1.766,0.151,0.347,1
West Brom,Wolves,D,4.0,10.0,1.077,1.741,0.608,0.812,0
Burnley,West Ham,A,3.0,4.0,0.528,0.827,1.576,1.808,-1
Leicester,Newcastle,A,9.0,6.0,0.852,0.876,1.523,1.959,-1
Leeds,Tottenham,H,7.0,3.0,0.273,0.365,2.422,1.812,1
Sheffield United,Crystal Palace,A,0.0,8.0,0.221,0.306,0.924,1.026,-1
Man City,Chelsea,A,4.0,5.0,2.786,1.508,2.778,1.332,-1
Liverpool,Southampton,H,6.0,6.0,2.642,1.352,1.124,1.251,1
Wolves,Brighton,H,6.0,3.0,0.587,0.91,0.306,0.413,1
Aston Villa,Man United,A,5.0,7.0,1.376,1.717,2.802,1.362,-1
West Ham,Everton,A,0.0,3.0,1.59,2.004,1.902,1.753,-1
Arsenal,West Brom,H,7.0,1.0,2.76,1.498,1.041,1.498,1
Fulham,Burnley,A,3.0,5.0,1.28,1.649,0.598,0.856,-1
Man United,Leicester,A,1.0,3.0,2.76,1.323,1.06,0.845,-1
Southampton,Crystal Palace,H,6.0,4.0,1.173,1.333,0.924,1.026,1
Chelsea,Arsenal,A,5.0,2.0,2.742,1.333,2.841,1.624,-1
Aston Villa,Everton,D,2.0,5.0,1.376,1.717,1.902,1.753,0
Man United,Liverpool,A,3.0,8.0,2.76,1.323,2.709,1.561,-1
Newcastle,Man City,A,5.0,6.0,1.69,1.917,2.758,1.601,-1
Burnley,Leeds,A,4.0,6.0,0.528,0.827,0.389,0.387,-1
Southampton,Fulham,H,7.0,3.0,1.173,1.333,1.109,1.609,1
